2026-07-28 01:26:26 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:27:11 | INFO     | Anwendung wird beendet
2026-07-28 01:27:42 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:29:15 | INFO     | Anwendung wird beendet
2026-07-28 01:29:27 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:31:28 | INFO     | Anwendung wird beendet
2026-07-28 01:31:43 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:32:14 | INFO     | Anwendung wird beendet
2026-07-28 01:32:28 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:33:55 | INFO     | Anwendung wird beendet
2026-07-28 01:34:13 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:35:17 | INFO     | Anwendung wird beendet
2026-07-28 01:35:29 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:36:19 | INFO     | Anwendung wird beendet
2026-07-28 01:36:38 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:43:21 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:44:18 | INFO     | Anwendung wird beendet
2026-07-28 01:44:19 | INFO     | Anwendung wird beendet
2026-07-28 01:44:37 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:47:30 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:51:20 | INFO     | Anwendung wird beendet
2026-07-28 01:51:21 | INFO     | Anwendung wird beendet
2026-07-28 01:51:33 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:52:17 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:52:24 | INFO     | Anwendung wird beendet
2026-07-28 01:52:28 | INFO     | Anwendung wird beendet
2026-07-28 01:52:41 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:53:16 | INFO     | Anwendung wird beendet
2026-07-28 01:53:36 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:57:11 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 01:59:28 | INFO     | Anwendung wird beendet
2026-07-28 01:59:41 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:00:44 | INFO     | Anwendung wird beendet
2026-07-28 02:01:26 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:03:33 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:04:54 | INFO     | Anwendung wird beendet
2026-07-28 02:05:46 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:07:10 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:10:27 | INFO     | Anwendung wird beendet
2026-07-28 02:10:34 | INFO     | Anwendung wird beendet
2026-07-28 02:12:53 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:13:56 | INFO     | Anwendung wird beendet
2026-07-28 02:14:10 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:15:44 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:15:50 | INFO     | Anwendung wird beendet
2026-07-28 02:15:53 | INFO     | Anwendung wird beendet
2026-07-28 02:16:03 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:19:55 | INFO     | Anwendung wird beendet
2026-07-28 02:20:05 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:21:36 | INFO     | Dokument RG-2026-0002 gespeichert
2026-07-28 02:21:36 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:21:36 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:26:20 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
